StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q15_1,Q3_1,Q6_1,Q7_1,Q8_1,Q9_1,Q18_1,Q19_1,Q_DataPolicyViolations,FL_7_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age?,What gender do you identify with?,How often do you use AI?,How would you rate your knowledge about AI?,How concerned are you about your digital privacy?,How open are you to adopting new technology?,How much do you trust AI with your private information?,How confident are you in your above decision about trusting AI?,How much do you trust AI with your private information now?,How confident are you now in your above decision about trusting AI?,Q_DataPolicyViolations,FL_7 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""Q_DataPolicyViolations""}","{""ImportId"":""FL_7_DO""}"
2024-11-03 17:39:00,2024-11-03 17:39:49,Survey Preview,,100,49,True,2024-11-03 17:39:50,R_8ffmGJxYZSmwcT3,,,,,,,preview,EN,25 - 34,Female,,4,7,5,2,6,6,4,,BL_6XxKA7vGGWEt2iW
2024-11-03 17:47:45,2024-11-03 17:50:19,Survey Preview,,100,154,True,2024-11-03 17:50:19,R_8mtqFtd7m7RTmW7,,,,,,,preview,EN,45 - 54,Male,,3,6,4,5,6,4,7,,BL_cAYGoBSHqi8c526
2024-11-04 09:57:33,2024-11-04 10:00:26,Survey Preview,,100,172,True,2024-11-04 10:00:26,R_8ff6RKIRWCxjtjQ,,,,,,,preview,EN,18 - 24,Male,,8,7,9,5,7,5,8,,BL_6XxKA7vGGWEt2iW
2024-11-06 16:35:56,2024-11-06 16:36:28,Survey Preview,,100,32,True,2024-11-06 16:36:29,R_878snaMnFzY3wrd,,,,,,,preview,EN,35 - 44,Non-Binary,7,4,4,6,4,7,5,5,,Treatment-Negative
2024-11-06 16:50:34,2024-11-06 16:51:58,IP Address,,100,84,True,2024-11-06 16:51:59,R_2pa7iBxbjJIa6id,,,,,,,anonymous,EN,45 - 54,Female,2,4,3,4,1,2,7,5,,Treatment-Neutral
2024-11-06 16:51:00,2024-11-06 16:51:59,IP Address,,100,58,True,2024-11-06 16:51:59,R_8QJnP7ywS1mnJE5,,,,,,,anonymous,EN,18 - 24,Male,10,8,7,10,7,7,7,6,,Treatment-Neutral
2024-11-06 16:53:08,2024-11-06 16:54:43,IP Address,,100,95,True,2024-11-06 16:54:44,R_8MDMSVDYM4dOvGF,,,,,,,anonymous,EN,55 - 64,Male,4,4,7,7,5,6,6,5,,Treatment-Negative
2024-11-06 16:55:00,2024-11-06 16:56:55,IP Address,,100,115,True,2024-11-06 16:56:56,R_2QR4poFCsnO1e9l,,,,,,,anonymous,EN,18 - 24,Male,8,7,6,9,4,4,6,6,,Treatment-Positive
2024-11-06 16:56:33,2024-11-06 16:57:40,IP Address,,100,66,True,2024-11-06 16:57:40,R_2jBkPKQROMWkfdL,,,,,,,anonymous,EN,18 - 24,Male,6,2,1,9,3,3,3,3,,Treatment-Negative
2024-11-06 16:57:21,2024-11-06 16:58:28,IP Address,,100,66,True,2024-11-06 16:58:28,R_8mPImvs9FMH3b6m,,,,,,,anonymous,EN,18 - 24,Male,5,5,5,8,4,6,5,6,,Treatment-Neutral
2024-11-06 16:57:54,2024-11-06 16:58:33,IP Address,,100,39,True,2024-11-06 16:58:33,R_8pPRqQE6bjKi1BP,,,,,,,anonymous,EN,25 - 34,Female,7,7,5,8,5,4,5,4,,Treatment-Positive
2024-11-06 16:58:37,2024-11-06 16:59:23,IP Address,,100,46,True,2024-11-06 16:59:23,R_2ZPrkVC8MSpfHax,,,,,,,anonymous,EN,18 - 24,Male,10,7,5,10,6,9,7,10,,Treatment-Negative
2024-11-06 16:58:13,2024-11-06 16:59:23,IP Address,,100,70,True,2024-11-06 16:59:24,R_8MzwJEpC1VXWOnT,,,,,,,anonymous,EN,18 - 24,Male,10,9,9,8,3,8,2,8,,Treatment-Neutral
2024-11-06 16:59:00,2024-11-06 16:59:44,IP Address,,100,43,True,2024-11-06 16:59:44,R_2RfHCo5KU6xI1j3,,,,,,,anonymous,EN,18 - 24,Female,10,2,1,6,6,2,1,1,,Treatment-Positive
2024-11-06 16:58:46,2024-11-06 17:00:18,IP Address,,100,91,True,2024-11-06 17:00:19,R_2f6sw9YOj33hunt,,,,,,,anonymous,EN,18 - 24,Female,7,2,6,6,1,7,0,10,,Treatment-Negative
2024-11-06 16:58:25,2024-11-06 17:00:40,IP Address,,100,134,True,2024-11-06 17:00:40,R_27KyqrdmhdY9hKh,,,,,,,anonymous,EN,18 - 24,Male,9,7,10,10,5,5,7,6,,Treatment-Positive
2024-11-06 16:58:49,2024-11-06 17:00:40,IP Address,,100,110,True,2024-11-06 17:00:40,R_2vi6R8iJaxcLbgk,,,,,,,anonymous,EN,18 - 24,Female,10,5,6,8,6,7,7,7,,Treatment-Neutral
2024-11-06 16:58:01,2024-11-06 17:02:48,IP Address,,100,286,True,2024-11-06 17:02:48,R_8BeSd04I3tB1aRH,,,,,,,anonymous,EN,18 - 24,Male,10,0,9,10,2,8,2,8,,Treatment-Positive
2024-11-06 17:01:21,2024-11-06 17:03:12,IP Address,,100,110,True,2024-11-06 17:03:12,R_2BkOXReHIJjMshh,,,,,,,anonymous,EN,18 - 24,Male,7,7,9,10,5,6,6,7,,Treatment-Negative
2024-11-06 17:06:04,2024-11-06 17:07:08,IP Address,,100,64,True,2024-11-06 17:07:08,R_27xKh2xv6qZUJpp,,,,,,,anonymous,EN,18 - 24,Female,,,5,6,,,1,2,,Treatment-Neutral
2024-11-06 17:04:19,2024-11-06 17:07:44,IP Address,,100,204,True,2024-11-06 17:07:44,R_8dhDsensTSuWPqo,,,,,,,anonymous,EN,45 - 54,Female,3,3,2,6,8,5,9,8,,Treatment-Neutral
2024-11-06 17:06:18,2024-11-06 17:08:34,IP Address,,100,135,True,2024-11-06 17:08:34,R_2LYvOPgcIvLKNno,,,,,,,anonymous,EN,18 - 24,Male,1,3,2,3,3,3,4,4,,Treatment-Positive
2024-11-06 17:07:52,2024-11-06 17:09:24,IP Address,,100,91,True,2024-11-06 17:09:25,R_2xsVbO5yuyY8PJv,,,,,,,anonymous,EN,18 - 24,Male,10,6,1,10,4,0,2,0,,Treatment-Negative
2024-11-06 17:08:30,2024-11-06 17:10:01,IP Address,,100,90,True,2024-11-06 17:10:01,R_2FKiyrGpQ9vcJrq,,,,,,,anonymous,EN,18 - 24,Male,5,5,5,10,6,6,,,,Treatment-Neutral
2024-11-06 17:08:51,2024-11-06 17:10:55,IP Address,,100,124,True,2024-11-06 17:10:56,R_8lmdQ5TfDhgTol7,,,,,,,anonymous,EN,18 - 24,Male,4,4,1,9,2,6,2,9,,Treatment-Negative
2024-11-06 17:10:56,2024-11-06 17:11:56,IP Address,,100,59,True,2024-11-06 17:11:56,R_8zobORsWv4EQZqN,,,,,,,anonymous,EN,18 - 24,Female,9,6,10,10,4,6,6,6,,Treatment-Neutral
2024-11-06 17:12:50,2024-11-06 17:13:59,IP Address,,100,68,True,2024-11-06 17:13:59,R_80MCmtWjnIWKhHl,,,,,,,anonymous,EN,18 - 24,Female,8,6,8,9,1,8,6,9,,Treatment-Positive
2024-11-06 17:16:23,2024-11-06 17:17:19,IP Address,,100,56,True,2024-11-06 17:17:19,R_8jd3rjLBeknjKvW,,,,,,,anonymous,EN,18 - 24,Female,7,1,10,4,1,10,,,,Treatment-Negative
2024-11-06 17:17:20,2024-11-06 17:18:12,IP Address,,100,52,True,2024-11-06 17:18:12,R_2hKWHeSkSc93GT8,,,,,,,anonymous,EN,18 - 24,Female,9,6,10,4,1,9,1,10,,Treatment-Neutral
2024-11-06 17:17:09,2024-11-06 17:18:14,IP Address,,100,65,True,2024-11-06 17:18:15,R_7Hi7O6jlUNn3YKp,,,,,,,anonymous,EN,18 - 24,Male,,5,10,10,4,7,8,7,,Treatment-Negative
2024-11-06 17:18:55,2024-11-06 17:20:44,IP Address,,100,108,True,2024-11-06 17:20:44,R_2rGYJQ4sHVycEoK,,,,,,,anonymous,EN,18 - 24,Male,8,8,7,9,7,7,7,8,,Treatment-Positive
2024-11-06 17:21:22,2024-11-06 17:22:58,IP Address,,100,96,True,2024-11-06 17:22:58,R_8wBumylnBAS142k,,,,,,,anonymous,EN,18 - 24,Male,10,2,5,7,2,7,5,4,,Treatment-Neutral
2024-11-06 17:23:21,2024-11-06 17:24:45,IP Address,,100,84,True,2024-11-06 17:24:45,R_835BIvSt0YyMqat,,,,,,,anonymous,EN,18 - 24,Male,8,6,6,9,8,8,7,7,,Treatment-Negative
2024-11-06 17:23:51,2024-11-06 17:25:32,IP Address,,100,101,True,2024-11-06 17:25:32,R_2MrqDbc7Hup11Hr,,,,,,,anonymous,EN,18 - 24,Male,10,7,5,9,5,10,7,10,,Treatment-Positive
2024-11-06 17:29:07,2024-11-06 17:31:29,IP Address,,100,141,True,2024-11-06 17:31:29,R_8IfJCnK1YVnJZhF,,,,,,,anonymous,EN,18 - 24,Male,7,6,4,7,4,3,5,4,,Treatment-Positive
2024-11-06 17:47:25,2024-11-06 17:47:54,IP Address,,100,29,True,2024-11-06 17:47:55,R_8EKnPZTSrL3Ya0V,,,,,,,anonymous,EN,25 - 34,Other,4,3,4,5,8,8,4,8,,Treatment-Neutral
2024-11-06 17:47:56,2024-11-06 17:48:24,IP Address,,100,27,True,2024-11-06 17:48:24,R_2zo7SH0jwqfcn1D,,,,,,,anonymous,EN,35 - 44,Male,7,6,7,7,4,4,7,6,,Treatment-Negative
2024-11-06 17:48:26,2024-11-06 17:48:55,IP Address,,100,28,True,2024-11-06 17:48:55,R_81X94TkPDkph02c,,,,,,,anonymous,EN,18 - 24,Female,7,6,7,5,4,5,5,7,,Treatment-Positive
2024-11-06 17:48:57,2024-11-06 17:49:29,IP Address,,100,32,True,2024-11-06 17:49:29,R_8aPKa1hdFJGG5Hg,,,,,,,anonymous,EN,18 - 24,Male,6,7,8,8,7,5,6,8,,Treatment-Neutral
2024-11-06 17:49:49,2024-11-06 17:50:43,IP Address,,100,53,True,2024-11-06 17:50:43,R_2JD5fV6AhhznFxD,,,,,,,anonymous,EN,25 - 34,Male,9,4,2,7,5,5,5,5,,Treatment-Negative
2024-11-06 17:53:24,2024-11-06 17:54:16,IP Address,,100,52,True,2024-11-06 17:54:17,R_2WWlCtToJsPRmwN,,,,,,,anonymous,EN,25 - 34,Female,0,0,1,1,0,0,1,1,,Treatment-Neutral
2024-11-06 17:56:14,2024-11-06 17:57:02,IP Address,,100,47,True,2024-11-06 17:57:02,R_8NEqFQtcAMRpjVy,,,,,,,anonymous,EN,18 - 24,Male,10,10,3,10,8,10,8,8,,Treatment-Negative
2024-11-06 17:55:48,2024-11-06 17:57:03,IP Address,,100,74,True,2024-11-06 17:57:03,R_8M6FHmR2UzA5Ivs,,,,,,,anonymous,EN,Under 18,Male,10,7,5,10,4,7,3,5,,Treatment-Positive
2024-11-06 17:59:18,2024-11-06 18:00:47,IP Address,,100,89,True,2024-11-06 18:00:48,R_2didT2zRQB0xdSE,,,,,,,anonymous,EN,18 - 24,Female,8,7,4,9,1,6,5,6,,Treatment-Neutral
2024-11-06 18:07:59,2024-11-06 18:09:15,IP Address,,100,75,True,2024-11-06 18:09:15,R_2RmZhFCIsp7CqTI,,,,,,,anonymous,EN,Over 65,Non-Binary,10,10,10,10,5,10,5,10,,Treatment-Negative
2024-11-06 18:27:50,2024-11-06 18:30:19,IP Address,,100,148,True,2024-11-06 18:30:19,R_8QlCBlJpJe7S7uo,,,,,,,anonymous,EN,25 - 34,Male,10,4,2,10,2,10,2,10,,Treatment-Positive
2024-11-06 18:52:50,2024-11-06 18:53:53,IP Address,,100,63,True,2024-11-06 18:53:54,R_8yP7xnrNvVEbiRH,,,,,,,anonymous,EN,18 - 24,Male,4,8,7,8,5,7,6,6,,Treatment-Neutral
2024-11-06 19:26:25,2024-11-06 19:32:21,IP Address,,100,356,True,2024-11-06 19:32:22,R_8N9MFyXw79AYbFd,,,,,,,anonymous,EN,18 - 24,Male,8,6,1,10,0,5,6,6,,Treatment-Positive
2024-11-06 19:44:19,2024-11-06 19:45:13,IP Address,,100,53,True,2024-11-06 19:45:13,R_2pSrw9GlUOFZTqE,,,,,,,anonymous,EN,18 - 24,Male,3,1,4,8,,3,,3,,Treatment-Neutral
2024-11-06 21:04:49,2024-11-06 21:06:01,IP Address,,100,71,True,2024-11-06 21:06:02,R_2Gxc4W553GIEECC,,,,,,,anonymous,EN,18 - 24,Female,7,3,5,6,4,8,6,6,,Treatment-Neutral
2024-11-06 22:11:12,2024-11-06 22:12:35,IP Address,,100,82,True,2024-11-06 22:12:35,R_2gkMKpxntNlVqFj,,,,,,,anonymous,EN,18 - 24,Female,8,7,6,9,3,2,3,3,,Treatment-Negative
2024-11-06 22:12:41,2024-11-06 22:14:02,IP Address,,100,80,True,2024-11-06 22:14:02,R_8NP7Z0445nJRzZr,,,,,,,anonymous,EN,18 - 24,Male,9,9,6,8,6,4,6,7,,Treatment-Positive
2024-11-06 22:16:39,2024-11-06 22:17:32,IP Address,,100,52,True,2024-11-06 22:17:32,R_2l9YrNJLsPVSAZX,,,,,,,anonymous,EN,25 - 34,Female,10,5,7,10,,10,,10,,Treatment-Positive
2024-11-07 08:50:09,2024-11-07 08:51:38,IP Address,,100,89,True,2024-11-07 08:51:39,R_8FKEBi5h5W30NDE,,,,,,,anonymous,EN,18 - 24,Female,10,8,3,9,7,7,2,5,,Treatment-Negative
2024-11-07 08:51:45,2024-11-07 08:53:08,IP Address,,100,83,True,2024-11-07 08:53:08,R_80tsva9XIu7f8fn,,,,,,,anonymous,EN,18 - 24,Male,10,8,5,9,6,7,6,6,,Treatment-Neutral
2024-11-07 09:08:09,2024-11-07 09:09:01,IP Address,,100,51,True,2024-11-07 09:09:01,R_8eQAGL3loINlUOT,,,,,,,anonymous,EN,18 - 24,Female,5,8,6,7,3,7,1,8,,Treatment-Negative
2024-11-07 09:08:11,2024-11-07 09:09:04,IP Address,,100,53,True,2024-11-07 09:09:05,R_8nr7O96l4Eov3ep,,,,,,,anonymous,EN,18 - 24,Female,5,2,7,6,,,,,,Treatment-Neutral
2024-11-07 09:09:09,2024-11-07 09:10:06,IP Address,,100,56,True,2024-11-07 09:10:06,R_2fQdn9RLHH4OIq6,,,,,,,anonymous,EN,18 - 24,Female,10,5,7,10,2,8,2,7,,Treatment-Positive
2024-11-07 10:20:35,2024-11-07 10:21:56,IP Address,,100,81,True,2024-11-07 10:21:57,R_2e4R0kspfp1NZCl,,,,,,,anonymous,EN,18 - 24,Female,8,3,4,7,2,6,1,8,,Treatment-Negative
2024-11-07 10:32:29,2024-11-07 10:33:22,IP Address,,100,53,True,2024-11-07 10:33:23,R_2I4uYsttaXJxRnv,,,,,,,anonymous,EN,25 - 34,Non-Binary,8,6,5,8,2,5,2,5,,Treatment-Positive
2024-11-07 10:48:22,2024-11-07 10:49:35,IP Address,,100,73,True,2024-11-07 10:49:36,R_8mfp3MT8McWexHS,,,,,,,anonymous,EN,25 - 34,Female,8,5,6,9,4,6,4,6,,Treatment-Neutral
2024-11-07 10:48:19,2024-11-07 10:49:52,IP Address,,100,92,True,2024-11-07 10:49:52,R_83Vrk0wIRvJaOiz,,,,,,,anonymous,EN,18 - 24,Female,8,6,7,8,4,6,7,8,,Treatment-Positive
2024-11-07 10:47:03,2024-11-07 10:50:56,IP Address,,100,232,True,2024-11-07 10:50:56,R_8dKqXJihRx2RMro,,,,,,,anonymous,EN,18 - 24,Male,8,4,3,9,6,4,3,6,,Treatment-Negative
2024-11-07 10:52:04,2024-11-07 10:53:42,IP Address,,100,97,True,2024-11-07 10:53:42,R_2poLHWM7SshXQKo,,,,,,,anonymous,EN,18 - 24,Male,10,7,3,6,5,5,5,5,,Treatment-Neutral
2024-11-07 10:52:31,2024-11-07 10:53:48,IP Address,,100,76,True,2024-11-07 10:53:48,R_8gbTG4D4xdcNV7z,,,,,,,anonymous,EN,18 - 24,Male,6,6,3,9,9,8,9,8,,Treatment-Negative
2024-11-07 10:53:23,2024-11-07 10:55:00,IP Address,,100,97,True,2024-11-07 10:55:01,R_2q3SPmfQd31x5Za,,,,,,,anonymous,EN,18 - 24,Male,6,4,9,7,4,7,4,8,,Treatment-Positive
2024-11-07 10:54:53,2024-11-07 10:56:31,IP Address,,100,98,True,2024-11-07 10:56:32,R_24nOUDukNwfVqQF,,,,,,,anonymous,EN,25 - 34,Male,7,4,3,8,5,3,6,6,,Treatment-Positive
2024-11-07 10:55:44,2024-11-07 10:56:41,IP Address,,100,56,True,2024-11-07 10:56:41,R_2WG73KXtrkITkUI,,,,,,,anonymous,EN,18 - 24,Male,10,8,8,10,7,7,6,7,,Treatment-Negative
2024-11-07 10:56:58,2024-11-07 10:57:32,IP Address,,100,34,True,2024-11-07 10:57:32,R_87GR6X50wDt2Z7b,,,,,,,anonymous,EN,18 - 24,Male,5,4,7,8,3,6,3,8,,Treatment-Negative
2024-11-07 11:07:04,2024-11-07 11:08:08,IP Address,,100,63,True,2024-11-07 11:08:09,R_2M3xucYHPpkcibJ,,,,,,,anonymous,EN,18 - 24,Male,8,5,3,10,3,8,2,8,,Treatment-Positive
2024-11-07 11:10:08,2024-11-07 11:11:31,IP Address,,100,83,True,2024-11-07 11:11:31,R_4rCHZEqLEKK2NZ5,,,,,,,anonymous,EN,18 - 24,Male,9,5,7,10,2,8,3,8,,Treatment-Neutral
2024-11-07 11:36:14,2024-11-07 11:37:37,IP Address,,100,83,True,2024-11-07 11:37:38,R_8WGBfCpu9zG4RTb,,,,,,,anonymous,EN,18 - 24,Female,7,4,4,8,5,6,6,6,,Treatment-Positive
2024-11-07 11:41:40,2024-11-07 11:42:51,IP Address,,100,71,True,2024-11-07 11:42:52,R_8tmelPwkXu5evC1,,,,,,,anonymous,EN,18 - 24,Female,9,1,2,10,7,4,4,6,,Treatment-Neutral
2024-11-07 11:45:23,2024-11-07 11:47:24,IP Address,,100,121,True,2024-11-07 11:47:25,R_8K1CN9nqOENDBnj,,,,,,,anonymous,EN,25 - 34,Female,10,5,6,6,3,5,4,5,,Treatment-Positive
2024-11-07 11:57:49,2024-11-07 11:59:08,IP Address,,100,79,True,2024-11-07 11:59:09,R_2dUGy30fTdfJXix,,,,,,,anonymous,EN,18 - 24,Female,10,9,3,10,8,10,8,10,,Treatment-Negative
2024-11-07 14:23:08,2024-11-07 14:24:45,IP Address,,100,96,True,2024-11-07 14:24:45,R_2zApmVHfQIaCMNW,,,,,,,anonymous,EN,25 - 34,Female,0,1,1,1,0,0,1,1,,Treatment-Neutral
2024-11-07 14:25:20,2024-11-07 14:26:09,IP Address,,100,48,True,2024-11-07 14:26:10,R_2s18CFEjpaAUYb1,,,,,,,anonymous,EN,18 - 24,Male,10,7,2,5,7,10,7,10,,Treatment-Negative
2024-11-07 15:13:34,2024-11-07 15:14:47,IP Address,,100,72,True,2024-11-07 15:14:47,R_2N1xYMtGloaLUOJ,,,,,,,anonymous,EN,18 - 24,Male,10,9,6,9,7,5,6,5,,Treatment-Positive
2024-11-07 16:10:00,2024-11-07 16:11:42,IP Address,,100,101,True,2024-11-07 16:11:44,R_8EEeD70tLvq6Vk5,,,,,,,anonymous,EN,18 - 24,Male,7,8,2,6,5,10,5,10,,Treatment-Positive
2024-11-07 09:08:09,2024-11-07 16:19:08,IP Address,,100,25858,True,2024-11-07 16:19:08,R_81k0LoeYa55CmWJ,,,,,,,anonymous,EN,18 - 24,Female,8,6,5,7,5,5,,,,Treatment-Negative
2024-11-10 19:30:01,2024-11-10 19:31:42,IP Address,,100,101,True,2024-11-10 19:31:42,R_2cVa9uBsolIQHiQ,,,,,,,anonymous,EN,18 - 24,Male,10,5,8,5,0,3,0,4,,Treatment-Neutral
2024-11-10 20:39:14,2024-11-10 20:40:23,IP Address,,100,69,True,2024-11-10 20:40:24,R_8JVXHTY8iwmHoM9,,,,,,,anonymous,EN,18 - 24,Male,5,8,2,7,1,5,1,5,,Treatment-Neutral
2024-11-10 20:51:25,2024-11-10 20:52:09,IP Address,,100,44,True,2024-11-10 20:52:10,R_21b1MaDVqFowC1i,,,,,,,anonymous,EN,18 - 24,Female,7,6,7,7,3,2,4,4,,Treatment-Positive
2024-11-10 20:56:01,2024-11-10 20:57:03,IP Address,,100,61,True,2024-11-10 20:57:03,R_814AjdbQsM0tgqM,,,,,,,anonymous,EN,18 - 24,Female,9,3,3,8,4,4,6,4,,Treatment-Neutral
2024-11-10 21:05:02,2024-11-10 21:06:16,IP Address,,100,73,True,2024-11-10 21:06:16,R_8WfkP2Yxumtp4dj,,,,,,,anonymous,EN,18 - 24,Female,7,4,4,6,4,5,4,5,,Treatment-Positive
2024-11-10 21:31:13,2024-11-10 21:36:58,IP Address,,100,344,True,2024-11-10 21:36:58,R_6n1KvaIyc4m0GS7,,,,,,,anonymous,EN,18 - 24,Male,9,9,4,7,8,10,9,4,,Treatment-Negative
2024-11-10 21:46:08,2024-11-10 21:47:05,IP Address,,100,57,True,2024-11-10 21:47:06,R_22u0qSU14Inb4SB,,,,,,,anonymous,EN,18 - 24,Female,8,6,2,5,8,5,4,4,,Treatment-Positive
2024-11-11 09:28:02,2024-11-11 09:29:02,IP Address,,100,60,True,2024-11-11 09:29:03,R_2DY6k9N8Zolptm1,,,,,,,anonymous,EN,18 - 24,Male,7,7,6,6,5,7,6,7,,Treatment-Neutral
2024-11-11 10:36:47,2024-11-11 10:37:37,IP Address,,100,50,True,2024-11-11 10:37:38,R_8nLPjNT1dk3nj2h,,,,,,,anonymous,EN,18 - 24,Male,6,4,1,9,7,9,7,3,,Treatment-Negative
2024-11-06 16:58:13,2024-11-06 16:58:18,IP Address,,15,5,False,2024-11-13 16:58:26,R_8Lc2T7wGkMo2D7D,,,,,,,anonymous,EN,18 - 24,Male,,,,,,,,,,
2024-11-06 17:09:24,2024-11-06 17:09:42,IP Address,,77,17,False,2024-11-13 17:09:44,R_8FJIWi3F9DdA67f,,,,,,,anonymous,EN,18 - 24,Female,2,2,3,3,3,2,,,,Treatment-Positive
2024-11-06 18:06:08,2024-11-06 18:06:45,IP Address,,85,37,False,2024-11-13 18:06:50,R_8rdfCKP20NIgMkR,,,,,,,anonymous,EN,18 - 24,Male,9,8,9,9,1,9,,,,Treatment-Positive
2024-11-06 18:11:48,2024-11-06 18:11:58,IP Address,,15,9,False,2024-11-13 18:12:02,R_8qxTTpiX81H2iwv,,,,,,,anonymous,EN,Under 18,Female,,,,,,,,,,
2024-11-06 18:37:36,2024-11-06 18:38:13,IP Address,,77,36,False,2024-11-13 18:38:14,R_2Fhnha3QmQiJfoW,,,,,,,anonymous,EN,18 - 24,Female,8,4,4,10,1,10,,,,Treatment-Negative
2024-11-06 18:54:13,2024-11-06 18:55:31,IP Address,,85,77,False,2024-11-13 18:55:32,R_83oO68HpU1FTxV7,,,,,,,anonymous,EN,18 - 24,Female,8,5,7,9,7,8,,,,Treatment-Negative
2024-11-06 19:17:28,2024-11-06 19:17:36,IP Address,,15,7,False,2024-11-13 19:17:40,R_2rfiiq2rXrfPHUt,,,,,,,anonymous,EN,18 - 24,Male,,,,,,,,,,
2024-11-06 20:12:13,2024-11-06 20:12:19,IP Address,,15,5,False,2024-11-13 20:12:21,R_8Hd3SrTRIDQDoLD,,,,,,,anonymous,EN,18 - 24,Female,,,,,,,,,,
2024-11-07 09:09:17,2024-11-07 09:10:11,IP Address,,77,53,False,2024-11-14 09:10:13,R_2hPVesfkIlvDvbH,,,,,,,anonymous,EN,18 - 24,Male,4,5,6,7,3,8,,,,Treatment-Neutral
2024-11-07 10:43:34,2024-11-07 10:43:43,IP Address,,15,8,False,2024-11-14 10:43:44,R_8rVo1nxvGPtLAWU,,,,,,,anonymous,EN,45 - 54,Male,,,,,,,,,,
2024-11-07 10:47:07,2024-11-07 10:47:35,IP Address,,46,28,False,2024-11-14 10:47:43,R_8z8YpTBI28tYSRO,,,,,,,anonymous,EN,18 - 24,Female,6,2,6,8,,,,,,
2024-11-07 10:55:31,2024-11-07 10:56:17,IP Address,,85,46,False,2024-11-14 10:56:18,R_2gdvFrIxvJJfDdP,,,,,,,anonymous,EN,18 - 24,Male,7,6,6,8,4,6,,,,Treatment-Neutral
2024-11-07 11:25:35,2024-11-07 11:25:54,IP Address,,46,19,False,2024-11-14 11:25:59,R_20PvPEh39LA64vf,,,,,,,anonymous,EN,18 - 24,Female,8,4,0,9,,,,,,
2024-11-07 11:26:54,2024-11-07 11:32:13,IP Address,,85,319,False,2024-11-14 11:32:20,R_2qESEwj2vE7eTav,,,,,,,anonymous,EN,18 - 24,Female,10,7,8,10,7,8,,,,Treatment-Neutral
2024-11-07 11:40:51,2024-11-07 11:41:44,IP Address,,85,53,False,2024-11-14 11:41:45,R_8bWzOXNTaNwtMyy,,,,,,,anonymous,EN,18 - 24,Male,10,5,7,10,3,7,,,,Treatment-Negative
2024-11-07 14:11:17,2024-11-07 14:11:30,IP Address,,15,13,False,2024-11-14 14:11:38,R_4fton9Y4xOHdwfD,,,,,,,anonymous,EN,18 - 24,Female,,,,,,,,,,
2024-11-10 20:31:47,2024-11-10 20:33:00,IP Address,,85,72,False,2024-11-17 20:33:07,R_23otBgArj2zEpOx,,,,,,,anonymous,EN,18 - 24,Male,7,7,6,10,0,5,,,,Treatment-Negative
2024-11-07 10:43:00,2024-11-12 14:56:38,IP Address,,46,447218,False,2024-11-19 14:56:43,R_8C6ZRfQTLPojP6e,,,,,,,anonymous,EN,45 - 54,Male,3,0,,,,,,,,
2024-11-19 16:17:50,2024-11-19 16:19:03,IP Address,,100,73,True,2024-11-19 16:19:03,R_2m5RgG27JXRuC9b,,,,,,,anonymous,EN,18 - 24,Female,6,5,7,8,8,6,8,9,,Treatment-Neutral
2024-11-19 16:17:41,2024-11-19 16:19:39,IP Address,,100,118,True,2024-11-19 16:19:39,R_8jE4i89JMe6rr3Z,,,,,,,anonymous,EN,18 - 24,Male,6,5,3,6,3,5,2,6,,Treatment-Negative
2024-11-19 16:23:30,2024-11-19 16:31:34,IP Address,,100,483,True,2024-11-19 16:31:34,R_2APwL6nXL8SyLlL,,,,,,,anonymous,EN,18 - 24,Female,2,2,4,4,2,7,6,7,,Treatment-Positive
2024-11-19 16:45:22,2024-11-19 16:46:12,IP Address,,100,49,True,2024-11-19 16:46:13,R_2eQLxp9xZ1Gx5vD,,,,,,,anonymous,EN,25 - 34,Prefer not to say,2,1,6,1,1,3,1,4,,Treatment-Neutral
